"id_noticia","fuente","titular","fecha","paises_afectados","impacto_cultivos","severidad","categoria","contenido"
"NEWS5336","Bloomberg Commodities","Nueva política agrícola en Canadá busca mejorar sostenibilidad","2021-01-01","Australia","todos","alta","politica","El gobierno de Canadá ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente."
"NEWS8360","Dairy Reporter","Ola de calor reduce rendimientos de Arroz","2021-01-11","India|Argentina|Rusia","Arroz","baja","clima","Eventos climáticos extremos están afectando la producción de arroz en Canadá. Los agricultores reportan pérdidas del 21% en algunas áreas. Expertos advierten sobre el impacto en los precios internacionales."
"NEWS6016","World Grain","Sequía afecta proyecciones de cosecha en Alemania","2021-01-19","Argentina|México","Maíz","alta","clima","Eventos climáticos extremos están afectando la producción de maíz en Alemania. Los agricultores reportan pérdidas del 39% en algunas áreas. Expertos advierten sobre el impacto en los precios internacionales."
"NEWS5711","Farm Journal","Nueva política agrícola en Argentina busca mejorar sostenibilidad","2021-02-13","India|México|Nueva Zelanda","todos","media","comercio","El gobierno de Argentina ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente."
"NEWS8036","Reuters Agricultura","Demanda china impulsa mercado de carne_bovina","2021-03-10","India|Argentina|Nueva Zelanda","carne_bovina","alta","mercado","El mercado internacional de carne_bovina muestra una tendencia bajando. Los precios han bajando un 9% en el último mes. Rusia se posiciona como un actor clave en este mercado."
"NEWS3127","AgriCensus","Nueva política agrícola en India busca mejorar sostenibilidad","2021-03-13","Brasil","todos","media","comercio","El gobierno de India ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente."
"NEWS7808","Dairy Reporter","Nueva política agrícola en China busca mejorar sostenibilidad","2021-04-12","China|Nueva Zelanda|Rusia","todos","baja","comercio","El gobierno de China ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente."
"NEWS9989","World Grain","Demanda china impulsa mercado de soja","2021-04-18","México|España","soja","media","mercado","El mercado internacional de soja muestra una tendencia bajando. Los precios han bajando un 14% en el último mes. España se posiciona como un actor clave en este mercado."
"NEWS8393","Reuters Agricultura","Sequía afecta proyecciones de cosecha en Estados Unidos","2021-05-09","Brasil","Soja","media","clima","Eventos climáticos extremos están afectando la producción de soja en Estados Unidos. Los agricultores reportan pérdidas del 9% en algunas áreas. Expertos advierten sobre el impacto en los precios internacionales."
"NEWS8884","Reuters Agricultura","Nueva política agrícola en Italia busca mejorar sostenibilidad","2021-05-20","México|Brasil","todos","alta","sanidad","El gobierno de Italia ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente."
"NEWS6787","Farm Journal","Nueva política agrícola en Italia busca mejorar sostenibilidad","2021-06-11","Italia|Brasil","todos","baja","politica","El gobierno de Italia ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente."
"NEWS3388","World Grain","México aumenta exportaciones de trigo","2021-06-17","Estados Unidos","trigo","baja","mercado","El mercado internacional de trigo muestra una tendencia subiendo. Los precios han subiendo un 19% en el último mes. México se posiciona como un actor clave en este mercado."
"NEWS6757","Bloomberg Commodities","Nueva política agrícola en Canadá busca mejorar sostenibilidad","2021-06-28","India|Australia|Italia","todos","alta","sanidad","El gobierno de Canadá ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente."
"NEWS9395","AgriCensus","Nueva política agrícola en Italia busca mejorar sostenibilidad","2021-06-29","Italia","todos","media","tecnologia","El gobierno de Italia ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente."
"NEWS8920","Meat+Poultry","Nueva política agrícola en India busca mejorar sostenibilidad","2021-07-24","Kenia","todos","baja","tecnologia","El gobierno de India ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente."
